
vinc,vict|胜，征服
comprehension,ˌkɒmprɪ'henʃn,n. 理解；理解力；领悟能力
incomprehension,ɪnˌkɒmprɪ'henʃn,n. 不理解
comprehensive,ˌkɒmprɪ'hensɪv,adj. 全面的；广泛的；综合的；理解的
comprehensible,ˌkɒmprɪ'hensəbl,adj. 可理解的；易懂的
comprehensibility,ˌkɒmprɪˌhensə'bɪləti,n. 能理解
incomprehensible,ɪnˌkɒmprɪ'hensəbl,adj. 不能理解的；费解的；无限的
incomprehensibly,ɪnˌkɒmprɪˌhensəbli,adv. 费解地；不能理解地
incomprehensibility,ɪnˌkɒmprɪˌhensə'bɪləti,n. 不能理解；难懂
comprehensively,ˌkɒmprɪ'hensɪvli,adv. 包括地；全面地
uncomprehending,ʌnˌkɒmprɪ'hendɪŋ,adj. 不理解的
uncomprehendingly,ʌnˌkɒmprɪ'hendɪŋ,adj. 不理解的
comprehensiveness,ˌkɒmprɪ'hensɪvnəs,n. 广泛性；综合性
apprehend,ˌæprɪ'hend,v. 理解；忧虑；逮捕；拘押
apprehension,ˌæprɪ'henʃn,n. 理解；忧惧；逮捕；了解
apprehensible,ˌæprɪ'hensəbl,adj. 可理解的；可了解的
apprehensive,ˌæprɪ'hensɪv,adj. 忧虑的；善于领会的；知晓的
apprehensively,ˌæprɪ'hensɪvli,adv. 担心地；忧虑地
misapprehend,'mɪsˌæprɪ'hend,vt. 误解
misapprehension,ˌmɪsæprɪ'henʃn,n. 误解
misapprehensive,'mɪsˌæprɪ'hensɪv,adj. 误解的
misapprehensively,'mis,æpri'hensivli,adv.易产生误解地
prehensile,prɪ'hensaɪl,adj. (动物的尾足等)适于抓握的；有理解力的；贪婪的
prehension,prɪ'henʃən,n. 抓住；领会；理解
reprehend,ˌreprɪ'hend,vt. 指责；责难
reprehension,ˌreprɪ'henʃən,n. 非难；斥责
reprehensive,ˌreprɪ'hensɪv,adj. 谴责的；非难的
reprehensible,ˌreprɪ'hensəbl,adj. 应受谴责的
reprehensibly,reprɪ'hensəblɪ,adv. 应受斥责地；应受责难地
reprehensibility,ˌreprɪ'hensəbl,adj. 应受谴责的

script,scrib,scrip|写 ，刻写
scrip,skrɪp,n. 便条；纸条；纸片
scripting,skrɪpt,n. 剧本；脚本；手稿；手迹；字体；考卷
scribe,skraɪb,n. 抄写员；书记员；作家；新闻记者；划线器 v. 抄写；划线
scribal,'skraɪbl,adj. 抄写员的；抄写的
scriptorium,skrɪp'tɔːriəm,n. 缮写室；藏经楼；写字间
script,skrɪpt,n. 剧本；脚本；手稿；手迹；字体；考卷
scripted,'skrɪptɪd,adj. 照原稿宣读的 动词script的过去式和过去分词形式.
subscript,'sʌbskrɪpt,n. 下标 adj. 写在下方的
unscripted,ʌn'skrɪptɪd,adj. 不用草稿的
scribble,'skrɪbl,v. 潦草地书写；乱写 n. 潦草的写法
scribbled,'skrɪbl,v. 潦草地书写；乱写 n. 潦草的写法
scribbling,'skrɪblɪŋ,n. 乱涂；乱写 动词scribble的现在分词.
scribbler,'skrɪblə(r),n. 潦草书写的人；三流作家；小文人
scripture,'skrɪptʃə(r),n. 经文 Scripture: 《圣经》；《圣经》中的一段.
scriptural,'skrɪptʃərəl,adj. 圣经的；依据圣经的
scripturally,sk'rɪptʃərəlɪ,adv. 根据圣经地
scriptwriter,'skrɪptraɪtə(r),n. 编剧；剧作家
rescript,'riːskrɪpt,n. 法令；重写的东西
describe,dɪ'skraɪb,vt. 描述；说成；形容；画(尤指几何图形)
nondescript,'nɒndɪskrɪpt,adj. 莫可名状的；难以区别的；没有特点的 n. 难以名状的人或物
misdescribe,ˌmɪsdɪs'kraɪb,vt. 误记
descriptor,dɪ'skrɪptə(r),n. 描述符
described,dɪsk'raɪbd,adj. 描述的 动词describe的过去式和过去分词.
describer,dɪs'kraɪbə,n. 叙述者；描述者
description,dɪ'skrɪpʃn,n. 描述；刻画；类型；说明书
descriptive,dɪ'skrɪptɪv,adj. 描述的；叙述的
descriptively,dɪ'skrɪptɪvlɪ,adv. 描述地；描写地；形容地
describable,dɪ'skraɪbəbl,adj. 可记述的；可描写的
indescribable,ˌɪndɪ'skraɪbəbl,adj. 不能用语言表达的；不可名状的；莫名奇妙的
indescribably,ˌɪndɪ'skraɪbəbli,adv. 不可名状地
scripting,skrɪpt,n. 剧本；脚本；手稿；手迹；字体；考卷
redescription,riːdɪ'skrɪpʃən,n. 重新描写；重新描述 (生物分类单元的) 完备新描述.
subscription-based,səbˈskrɪpʃn-beɪst,adj.基于订阅的
self-described,'selfdɪskr'aɪbd,adj. 自称的
self-description,'selfdɪskr'ɪpʃn,自描述
prescribe,prɪ'skraɪb,v. 开处方；规定，命令，指示；限制，限定
prescribed,prɪ'skraɪbd,adj. 规定的
prescribing,prɪ'skraɪb,v. 开处方；规定，命令，指示；限制，限定
prescription,prɪ'skrɪpʃn,n. 处方；药方；对策
prescription-only,prɪ'skrɪpʃ(ə)n-ˈəʊnli,n.处方
prescription-drug,prɪ'skrɪpʃ(ə)n-drʌg,n.处方药
prescriptive,prɪ'skrɪptɪv,adj. 规定的；(语言学)规范的；约定俗成的
manuscript,'mænjuskrɪpt,n. 手稿；原稿 adj. 手抄的
subscribe,səb'skraɪb,vt. 订阅；签名；支持；捐赠；同意
subscriber,səb'skraɪbə(r),n. 签署者；捐献者；订户
subscription,səb'skrɪpʃn,n. 订阅；签署；同意；捐款；会费
transcribe,træn'skraɪb,v. 抄写；用音标标出；改编(乐曲)；转录
transcribed,træn'skraɪb,v. 抄写；用音标标出；改编(乐曲)；转录
transcriber,træns'kraɪbə,n. 誊写员；信息转换器；转录器；改编曲目者；翻译
transcript,'trænskrɪpt,n. 抄本；副本；誊本；成绩单；笔录
transcription,træn'skrɪpʃn,n. 抄本；誊写；用音标表示语音；转写；乐曲的改编；(生物)转移
transcriptional,træn'skrɪpʃənəl,adj. 抄录的；录音的；翻译的；转换的
transcriptase,træns'krɪpteɪs,n. [化]转录酶
inscribe,ɪn'skraɪb,v. 题写；题赠；铭刻于；铭记 （英）登记. [数] 使内接.
inscribed,ɪn'skraɪbd,adj. 印刻的 动词inscribe的过去式和过去分词形式.
inscription,ɪn'skrɪpʃn,n. 题字；碑铭；铭文 (复数）inscriptions:记名证券.
reinscription,rɪn'skrɪpʃ(ə)n,n.重刻铭文；重题题词
circumscribe,'sɜːkəmskraɪb,v. 限制；划一条线包围；确定...的范围；画（几何图形的）外接圆
circumscribed,'sɜːkəmskraɪbd,adj. 外接的；受限制的 动词circumscribe的过去式和过去分词.
well-circumscribed,'wels'ɜːkəmskraɪbd,边界清楚的
circumscription,ˌsɜːkəm'skrɪpʃn,n. 限界(定义；外接；花边)
conscription,kən'skrɪpʃn,n. 征兵；募兵
conscript,kən'skrɪpt,v. 征兵；征召 n. 应征士兵
conscribe,kən'skraɪb,v. 征召入伍
ascribe,ə'skraɪb,v. 归因于；归于
ascribed,ə'skraɪb,v. 归因于；归于
ascription,ə'skrɪpʃn,n. 归因；归属；归咎
ascriptive,ə'skrɪpʃn,n. 归因；归属；归咎
proscribe,prə'skraɪb,v. 禁止；放逐；排斥；剥夺…的公权
proscribed,prə'skraɪb,v. 禁止；放逐；排斥；剥夺…的公权
proscription,prə'skrɪpʃn,n. 禁止；被放逐；剥夺公民权
postscript,'pəʊstskrɪpt,n. 附笔
typescript,'taɪpskrɪpt,n. 打字稿；以打字打的文件
superscript,'suːpəskrɪpt,adj. 标在上面的 n. 上标

techn (o)|技术，艺术
technic,'teknɪk,n. 技巧；手法；工艺法 adj. 技术的；工艺的；专门的
technique,tek'niːk,n. 技术；技巧；技能
technics,'teknɪks,n. 工艺学，技术学；工艺 名词technic的复数形式
technology,tek'nɒlədʒi,n. 技术；工艺；工艺学
technological,ˌteknə'lɒdʒɪkl,adj. 科技的；工艺的
technologically,ˌteknə'lɒdʒɪkli,adv. 技术上地
technologist,tek'nɒlədʒɪst,n. 技术专家
technical,'teknɪkl,adj. 技术的；专业的；工艺的
technically,'teknɪkli,adv. 技术上；学术上；严密地
technicality,ˌteknɪ'kæləti,n. 技术细节；技术性；专门术语
technicalization,teknɪkəlaɪ'zeɪʃən,n. 技术化
technician,tek'nɪʃn,n. 技术员；技师
technolatry,tek'nɒlətrɪ,n. 技术崇拜
electrotechnics,ɪ'lektrə'teknɪks,n. 电工学(电气工艺学)
biotechnology,ˌbaɪəʊtek'nɒlədʒi,n. 生物技术
polytechnic,ˌpɒli'teknɪk,n. 工艺专科学校；理工专科学校 adj. 各种工艺的；综合技术的
pyrotechnic,ˌpaɪrə'teknɪk,adj. 烟火制造术的；辉煌灿烂的 =pyrotechnical.
pyrotechnics,ˌpaɪrə'teknɪks,n. 烟火制造术；各种烟火；技巧展示
zymotechnics,ˌzaɪməʊ'teknɪks,n. 发酵法；酿造法
nanotechnology,ˌnænəʊtek'nɒlədʒi,n. 纳米技术
high-technology,'haɪtek'nɒlədʒɪ,n. 高科技
technocrat,'teknəkræt,n. 技术人员；技术专家政治论者
technocratic,ˌteknə'krætɪk,adj. 技术专家统治论的
techno,'teknəʊ,n. 现代电子乐；高技术音乐 pref. 技术；技巧；工艺
technicolor,'teknɪkʌlə(r),n. [商标]彩色电影摄影法；鲜明的色彩；华丽的色彩
non-technical,'nɒnt'eknɪkl,adj. 非技术性的
technology-based,tek'nɒlədʒɪ-beɪst,adj.以科技为本的
technology-driven,tek'nɒlədʒiːdr'ɪvn,技术推动型
technology-related,tek'nɒlədʒɪ'rɪ'leɪtɪd,adj.技术相关的
technologic,ˌteknə'lɒdʒɪk,adj. 工艺的；技术的
biotechnological,ˌbaɪəʊtek'nɒlədʒi,n. 生物技术
technophile,'teknəʊfaɪl,n. 技术爱好者
technetium,tek'niːʃɪəm,n. 【化】锝（元素符号：Tc）
technophobe,'teknəʊfəʊb,n. 技术恐惧者
technocracy,tek'nɒkrəsi,n. 技术专家政治论；专家政治
technology-oriented,tek'nɒlədʒɪ-'ɔːrɪentɪd,adj.技术至上；技术导向型；技术导向
vocational-technical,və(ʊ)'keɪʃ(ə)n(ə)l-'teknɪk(ə)l,高职

press|压，按
press,pres,v. 按；压；逼迫；强迫服役；征用 n. 新闻界；出版社；报刊；新闻舆论；压；熨烫机；印刷机
presser,'presə,n. 压榨技工；压榨机
pressed,prest,adj. （金钱、时间等）紧迫的；压平的 动词press的过去式和过去分词.
pressman,'presmæn,n. 印刷工人；新闻记者
cold-pressed,kəʊld-prɛst,adj.冷压的
hot-pressed,'hɒtpr'est,热压
hard-pressed,'hɑ:dprest,adj. 经济拮据的；被催逼的；经历大困难的
pressure,'preʃə(r),n. 压强；压力；压迫 v. 施压
high-pressure,haɪ'preʃə,adj. 高压的 v. 强行推销；强制
low-pressure,'ləʊpr'eʃər,adj. 低压的；悠然自得的
blood-pressure,b'lʌdpr'eʃər,n. 血压
pressure-treated,'preʃə-tri:tid,adj.经加压处理的
overpressure,'əʊvə'preʃə,n. 超压 vt 压力上升.
acupressure,'ækjupreʃə(r),n. 针压法；指压按摩
pressured,'preʃə(r),n. 压强；压力；压迫 v. 施压
pressurize,'preʃəraɪz,v. 增压；密封；对…施加压力；逼迫 =pressurise(英）.
pressurized,'preʃəraɪzd,adj. 加压的；受压的 动词pressurize的过去式和过去分词形式.
pressurization,ˌpreʃəraɪ'zeɪʃn,n. 增压(压紧；压力输送)
pressure-sensitive,p'reʃərs'ensətɪv,压敏
bench-press,bentʃ-pres,n.举重练习凳；台式压床
pressing,'presɪŋ,adj. 紧迫的；紧急的 press的现在分词.
letterpress,'letəpres,n. 印刷字句；本文；书信复印器
pressroom,'presˌruːm,n. 印刷间(记者室)
time-pressed,taɪm-prɛst,adj.时间紧迫
pressure-cooker,p'reʃərk'ʊkər,n. 加压蒸煮器；高压锅
pressure-packed,'preʃə-pækt,adj.充满压力的
impress,ɪm'pres,n. 印记；印象；特征 v. 使 ... 有印象；影响；印刻；传送
impressed,ɪm'pres,n. 印记；印象；特征 v. 使 ... 有印象；影响；印刻；传送
impressive,ɪm'presɪv,adj. 给人深刻印象的
impression,ɪm'preʃn,n. 印象；感觉；模仿 n. 印迹；印刷
impressional,ɪm'preʃənəl,adj. 印象的；易受影响的
impressionism,ɪm'preʃənɪzəm,n. 印象派；印象主义
post-impressionist,'postɪm'prɛʃənɪst,adj.后期印象派的n.后期印象派的画家
impressionistic,ˌɪmpreʃə'nɪstɪk,adj. 印象主义的；印象派的；给人深刻印象的
impressionable,ɪm'preʃənəbl,adj. 易受影响的
unimpressed,ˌʌnɪm'prest,adj. 没有印象的；未受感动的；无印记的
impressionist,ɪm'preʃənɪst,n. 印象主义者；印象派作家 adj. 印象派的
impressively,ɪm'presɪvli,adv. 令人难忘地；令人印象深刻地
unimpressive,ˌʌnɪm'presɪv,adj. 印象淡薄的；无印象的
misimpression,ˌmɪsɪm'preʃən,n. 错误的印象
impressive-looking,ɪmp'resɪvl'ʊkɪŋ,n. 冠冕堂皇
impressment,ɪm'presmənt,n. 征用；征召；强制征兵
express,ɪk'spres,n. 快车；快递；专使 adj. 明确的；急速的；直接的 adv. 用快递 vt. 表达；表示；挤压出；快递
expressive,ɪk'spresɪv,adj. 表达的；意味深长的；富于表情的
expression,ɪk'spreʃn,n. 表情；表示；表达；词句；措辞；表现；挤压
expressionism,ɪk'spreʃənɪzəm,n. 表现主义
expressionist,ɪk'spreʃənɪst,n. 表现派的人
self-expression,'selfiks'preʃən,n. 自我表现；自我表达
self-expressive,'selfɪk'spresɪv,n. 自我表现；自我表达
inexpressive,ˌɪnɪk'spresɪv,adj. 不表现的(无表示的)
expressivity,ˌekspres'ɪvətɪ,n. 表达性；[遗传学]基因的表现度
expressively,ɪk'spresɪvli,adv. 表达地；表示(某事物)地
expressible,ɪks'presɪbl,adj. 可表现的；可榨出的
expressly,ɪk'spresli,adv. 清楚地；特意地；专门地
expressed,ɪk'spres,n. 快车；快递；专使 adj. 明确的；急速的；直接的 adv. 用快递 vt. 表达；表示；挤压出；快递
expressionless,ɪk'spreʃənləs,adj. 没有表情的
expressionlessly,ɪk'spreʃ(ə)nlɪs,adv.无表情地；呆板地
expressway,ɪk'spresweɪ,n. 高速公路
expressiveness,ɪk'spresɪvnəs,n. 富有表现力；表现；表示
inexpressible,ˌɪnɪk'spresəbl,adj. 不能用语言表达的；不可言传的；不可名状的
inexpressibly,ɪnɪksp'resəblɪ,adv. 到不能用语言表达的程度
unexpressed,ˌʌnɪk'sprest,adj. 不明说的；未表达的
expressionistic,ɪksˌpreʃə'nɪstɪk,adj. 表现主义的；有表现派作风的
overexpression,əʊvərɪksp'reʃn,n. 超表达
depress,dɪ'pres,vt. 使沮丧；压下；使萧条；降低；压抑
depressive,dɪ'presɪv,adj. 压抑的；压下的；沉闷的 n. 抑郁者
depressing,dɪ'presɪŋ,adj. 令人沮丧的 动词depress的现在分词.
depressingly,dɪ'presɪŋli,adv. 抑压地；郁闷地
depressed,dɪ'prest,adj. 沮丧的；降低的；不景气的；萧条的；[动]扁平的；[植]匍匐的 动词depress的过去式及过去分词.
depressor,dɪ'presə(r),n. 抑压者；抑压物；压低肌
depressurize,diː'preʃəraɪz,vt. 降低压力；减压
manic-depressive,mænikdi'presiv,adj. 燥狂抑郁病的 n. 燥狂抑郁病患者
depressant,dɪ'presnt,adj. 有镇静作用的 n. 镇静剂
antidepressant,ˌæntidɪ'presnt,n. 抗抑郁剂 adj. 抗抑郁的
depression-era,dɪ'preʃ(ə)n-'ɪərə,n.经济大萧条时期
compress,'kɒmpres,vt. 压缩；压榨 n. [医]敷布
compression,kəm'preʃn,n. 压缩；浓缩；压紧
compressive,kəm'presɪv,adj. 有压缩力的；压缩的
compressor,kəm'presə(r),n. 压缩机
compressible,kəm'presɪbl,adj. 可压缩的；可压榨的
incompressible,ˌɪnkəm'presəbl,adj. 不能压缩的
compressibility,kəmˌpresɪ'bɪlɪtɪ,n. (可)压缩性；压缩率；压缩系数
compressed,kəm'prest,adj. 压缩的；〈生物学〉扁平的 动词compress的过去式和过去分词.
compressed-air,'kəmprezd'eər,adj. 压气的；风动的
uncompressed,ʌnkɒmp'rest,adj. 未压缩的
decompress,ˌdiːkəm'pres,vt. 缓缓排除压力；减压
decompression,ˌdiːkəm'preʃn,n. 还原；解压；减压
oppress,ə'pres,v. 使烦恼；压迫
oppressed,ə'prest,adj. 被压迫的；郁闷的 动词oppress的过去式和过去分词.
oppression,ə'preʃn,n. 压抑；压迫；沉闷
oppressive,ə'presɪv,adj. 压迫的；沉重的；压抑的；闷热难受的
oppressiveness,ə'presɪvnɪz,n. 压迫；沉重
oppressively,ə'presɪvli,adv. 压迫地；沉重地
oppressor,ə'presə(r),n. 压迫者；压制者
repress,rɪ'pres,v. 抑制；压抑；镇压
repressed,rɪ'prest,adj. 感情被压抑的；不能公开表达的 动词repress的过去式和过去分词.
long-repressed,lɒŋ-rɪ'prest,adj.长期被压抑的
repression,rɪ'preʃn,n. 抑制；压抑；镇压
repressive,rɪ'presɪv,adj. 镇压的；专制的；压抑的
irrepressible,ˌɪrɪ'presəbl,adj. 抑制不住的；难以征服的
irrepressibly,ˌɪrɪ'presəbli,adv. 控制不住地(约束不了地)
suppress,sə'pres,vt. 镇压；隐瞒；压制；止住；禁止
suppression,sə'preʃn,n. 镇压；抑制
suppressor,sə'presə(r),n. 抑制器；镇压者；抑制基因
suppressive,sə'presɪv,adj. 镇压的；抑压的；抑制的
suppressible,sə'presəbl,adj. 可以压制的；可以抑制的；可隐藏的
suppressed,sə'pres,vt. 镇压；隐瞒；压制；止住；禁止
long-suppressed,lɒŋ-sə'prest,adj.长期抑制的
suppressant,sə'presnt,n. 抑制剂；抑爆剂；灭火剂
espresso,e'spresəʊ,n. 浓咖啡
vasopressin,ˌvæsəʊ'presɪn,n. 后叶加压素；垂体后叶荷尔蒙
immunosuppressive,ɪ'mjuːnəʊsə'presɪv,adj. 抑制免疫反应的
immunosuppression,ˌɪmjunəʊsə'preʃn,n. 〈医〉免疫抑制
immunosuppressant,ˌɪmjunəʊsə'presənt,n. 免疫抑制剂

st,sist,st at,st in,st em|立， 站
system,'sɪstəm,n. 系统；体系；身体；制度
subsystem,'sʌb'sɪstəm,子系统
systemic,sɪ'stemɪk,adj. 全身的；系统的 n. 内吸性杀虫剂
systemically,sɪ'stemɪk,adj. 全身的；系统的 n. 内吸性杀虫剂
systematic,ˌsɪstə'mætɪk,adj. 有系统的；分类的；体系的；有条理的
systematics,sɪstɪ'mætɪks,n. 分类系统；分类学
systematize,'sɪstəmətaɪz,v. 使系统化 =systematise（英）.
systematized,'sɪstəmətaɪz,v. 使系统化 =systematise（英）.
systematization,ˌsɪstəmətaɪ'zeɪʃn,n. 组织化；系统化；分类
systematically,ˌsɪstə'mætɪkli,adv. 有系统地；有条理地
operating-system,'ɒpəreɪtɪŋ-'sɪstəm,n. [ 计 ]操作系统
system-wide,'sɪstəm-waɪd,adj.全系统的；系统范围的；系统级的；整个系统的
world-system,'wɜːlds'ɪstəm,世界体系
ecosystem-based,'iːkəʊsɪstəm-beɪst,adj.基于生态系统的
system-level,'sɪstəml'evl,系统级
assist,ə'sɪst,vt. 帮助；协助 vi. 帮助；出席 n. 帮助；协助；助攻；协助的器械
assistant,ə'sɪstənt,n. 助手，助理，助教；【化】（用于染色的）助剂 adj. 副的；辅助的
assistance,ə'sɪstəns,n. 援助；帮助
assisted,ə'sɪst,vt. 帮助；协助 vi. 帮助；出席 n. 帮助；协助；助攻；协助的器械
unassisted,ˌʌnə'sɪstɪd,adj. 无助的；独立的
assisting,ə'sɪst,vt. 帮助；协助 vi. 帮助；出席 n. 帮助；协助；助攻；协助的器械
assistive,ə'sɪstɪv,adj. 辅助的
assistantship,ə'sɪstəntʃɪp,n. 研究生奖学金；助教奖学金；助手职位
assisted-suicide,ə'sɪstɪd-'s(j)uːɪsaɪd,adj.辅助的协助自杀；帮助自杀
assisted-living,ə'sɪstɪd-'lɪvɪŋ,n.赡养院；生活协助
computer-assisted,kəmp'juːtəəs'ɪstɪd,adj. 计算机辅助的
resist,rɪ'zɪst,v. 抵制；抵抗；反抗；忍住 n. 防蚀涂层
resistor,rɪ'zɪstə(r),n. 电阻器
resister,rɪ'zɪstə(r),n. 抵抗者
resistance,rɪ'zɪstəns,n. 抵抗；抵触；反对；阻力 n. [电]阻抗
resistant,rɪ'zɪstənt,adj. 抵抗的；反抗的
resistible,rɪ'zɪstəbl,adj. 可抵抗的
resistive,rɪ'zɪstɪv,adj. 有抵抗力的；有阻力的；电阻的
resistively,rɪ'zɪstɪv,adj. 有抵抗力的；有阻力的；电阻的
resistivity,ˌrɪzɪ'stɪvɪti,n. 抵抗力；电阻率；电阻系数
irresistible,ˌɪrɪ'zɪstəbl,adj. 无法抗拒的
irresistibly,ˌɪrɪ'zɪstəbli,adv. 不可抵抗地；压制不住地
drought-resistant,d'raʊtrɪz'ɪstənt,adj. 抗旱的
resisting,rɪ'zɪstɪŋ,adj. 稳定的；坚固的；耐久的 动词resist的现在分词形式.
water-resistant,'wɔtərɪ,zɪstənt,adj. 抗水的
drug-resistant,d'rʌɡrɪz'ɪstənt,抗药的,耐药的
corrosion-resistant,kə'rəʊʒnrɪz'ɪstənt,耐蚀
disease-resistant,dɪ'ziːzrɪz'ɪstənt,抗病
fire-resistant,'faɪərrɪz'ɪstənt,adj. (=fire-retardnat)耐火的；防火的
heat-resistant,'hi:tri,zistənt,adj. 耐热的；抗热的
weather-resistant,'weðərrɪz'ɪstənt,抗大气腐蚀,耐风化
rot-resistant,rɒt-rɪ'zɪstənt,adj.抗腐烂的
pest-resistant,pest-rɪ'zɪstənt,adj.抗虫害的
stain-resistant,steɪn-rɪ'zɪstənt,adj.耐沾污的；防污渍的
herbicide-resistant,'hɜːbɪsaɪdrɪz'ɪstənt,抗除草剂
multidrug-resistant,'mʌltɪ-drʌg-rɪ'zɪstənt,多重耐药
penicillin-resistant,penɪ'sɪlɪn-rɪ'zɪstənt,adj.青霉素耐药的
